Category: All categories,
,
Week,bit coin price: (Worldwide)
4/12/2015,1
4/19/2015,1
4/26/2015,1
5/3/2015,1
5/10/2015,3
5/17/2015,1
5/24/2015,1
5/31/2015,1
6/7/2015,2
6/14/2015,2
6/21/2015,2
6/28/2015,<1
7/5/2015,2
7/12/2015,1
7/19/2015,2
7/26/2015,1
8/2/2015,3
8/9/2015,1
8/16/2015,1
8/23/2015,1
8/30/2015,3
9/6/2015,1
9/13/2015,1
9/20/2015,1
9/27/2015,1
10/4/2015,<1
10/11/2015,1
10/18/2015,1
10/25/2015,2
11/1/2015,4
11/8/2015,2
11/15/2015,2
11/22/2015,2
11/29/2015,2
12/6/2015,1
12/13/2015,2
12/20/2015,1
12/27/2015,2
1/3/2016,2
1/10/2016,1
1/17/2016,1
1/24/2016,2
1/31/2016,2
2/7/2016,1
2/14/2016,3
2/21/2016,1
2/28/2016,2
3/6/2016,2
3/13/2016,1
3/20/2016,<1
3/27/2016,1
4/3/2016,1
4/10/2016,2
4/17/2016,<1
4/24/2016,2
5/1/2016,1
5/8/2016,3
5/15/2016,1
5/22/2016,1
5/29/2016,1
6/5/2016,2
6/12/2016,5
6/19/2016,4
6/26/2016,3
7/3/2016,3
7/10/2016,3
7/17/2016,2
7/24/2016,1
7/31/2016,3
8/7/2016,2
8/14/2016,2
8/21/2016,3
8/28/2016,2
9/4/2016,1
9/11/2016,3
9/18/2016,<1
9/25/2016,2
10/2/2016,4
10/9/2016,1
10/16/2016,2
10/23/2016,2
10/30/2016,5
11/6/2016,3
11/13/2016,2
11/20/2016,2
11/27/2016,3
12/4/2016,2
12/11/2016,3
12/18/2016,4
12/25/2016,4
1/1/2017,7
1/8/2017,5
1/15/2017,4
1/22/2017,3
1/29/2017,3
2/5/2017,5
2/12/2017,3
2/19/2017,3
2/26/2017,6
3/5/2017,4
3/12/2017,5
3/19/2017,3
3/26/2017,5
4/2/2017,2
4/9/2017,2
4/16/2017,4
4/23/2017,3
4/30/2017,7
5/7/2017,8
5/14/2017,12
5/21/2017,18
5/28/2017,10
6/4/2017,12
6/11/2017,13
6/18/2017,8
6/25/2017,8
7/2/2017,6
7/9/2017,7
7/16/2017,11
7/23/2017,10
7/30/2017,13
8/6/2017,15
8/13/2017,22
8/20/2017,13
8/27/2017,12
9/3/2017,15
9/10/2017,21
9/17/2017,15
9/24/2017,10
10/1/2017,8
10/8/2017,15
10/15/2017,17
10/22/2017,19
10/29/2017,26
11/5/2017,27
11/12/2017,31
11/19/2017,28
11/26/2017,57
12/3/2017,100
12/10/2017,85
12/17/2017,97
12/24/2017,56
12/31/2017,43
1/7/2018,47
1/14/2018,51
1/21/2018,32
1/28/2018,33
2/4/2018,43
2/11/2018,22
2/18/2018,18
2/25/2018,14
3/4/2018,13
3/11/2018,15
3/18/2018,12
3/25/2018,11
4/1/2018,14
4/8/2018,13
4/15/2018,7
4/22/2018,11
4/29/2018,8
5/6/2018,9
5/13/2018,7
5/20/2018,9
5/27/2018,9
6/3/2018,6
6/10/2018,11
6/17/2018,8
6/24/2018,7
7/1/2018,4
7/8/2018,5
7/15/2018,8
7/22/2018,4
7/29/2018,6
8/5/2018,10
8/12/2018,10
8/19/2018,14
8/26/2018,13
9/2/2018,18
9/9/2018,17
9/16/2018,9
9/23/2018,10
9/30/2018,9
10/7/2018,10
10/14/2018,9
10/21/2018,11
10/28/2018,8
11/4/2018,12
11/11/2018,13
11/18/2018,20
11/25/2018,20
12/2/2018,24
12/9/2018,13
12/16/2018,17
12/23/2018,13
12/30/2018,13
1/6/2019,13
1/13/2019,12
1/20/2019,9
1/27/2019,11
2/3/2019,17
2/10/2019,10
2/17/2019,11
2/24/2019,13
3/3/2019,11
3/10/2019,12
3/17/2019,12
3/24/2019,7
3/31/2019,15
4/7/2019,15
4/14/2019,11
4/21/2019,13
4/28/2019,12
5/5/2019,18
5/12/2019,26
5/19/2019,19
5/26/2019,20
6/2/2019,16
6/9/2019,15
6/16/2019,17
6/23/2019,43
6/30/2019,23
7/7/2019,21
7/14/2019,23
7/21/2019,15
7/28/2019,11
8/4/2019,17
8/11/2019,11
8/18/2019,19
8/25/2019,18
9/1/2019,17
9/8/2019,14
9/15/2019,13
9/22/2019,16
9/29/2019,11
10/6/2019,10
10/13/2019,12
10/20/2019,15
10/27/2019,13
11/3/2019,13
11/10/2019,8
11/17/2019,11
11/24/2019,20
12/1/2019,12
12/8/2019,12
12/15/2019,9
12/22/2019,12
12/29/2019,10
1/5/2020,12
1/12/2020,10
1/19/2020,11
1/26/2020,11
2/2/2020,10
2/9/2020,17
2/16/2020,9
2/23/2020,15
3/1/2020,13
3/8/2020,39
3/15/2020,34
3/22/2020,24
3/29/2020,17
