Category: All categories

Week,etherium price: (Worldwide)
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,0
2015-06-14,1
2015-06-21,1
2015-06-28,0
2015-07-05,0
2015-07-12,0
2015-07-19,0
2015-07-26,0
2015-08-02,0
2015-08-09,0
2015-08-16,0
2015-08-23,0
2015-08-30,0
2015-09-06,0
2015-09-13,1
2015-09-20,0
2015-09-27,0
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,1
2015-11-01,1
2015-11-08,1
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,1
2015-12-13,1
2015-12-20,1
2015-12-27,0
2016-01-03,1
2016-01-10,0
2016-01-17,3
2016-01-24,1
2016-01-31,1
2016-02-07,2
2016-02-14,2
2016-02-21,1
2016-02-28,2
2016-03-06,7
2016-03-13,5
2016-03-20,6
2016-03-27,3
2016-04-03,2
2016-04-10,3
2016-04-17,2
2016-04-24,2
2016-05-01,3
2016-05-08,4
2016-05-15,7
2016-05-22,3
2016-05-29,4
2016-06-05,9
2016-06-12,16
2016-06-19,13
2016-06-26,6
2016-07-03,3
2016-07-10,2
2016-07-17,4
2016-07-24,5
2016-07-31,4
2016-08-07,5
2016-08-14,1
2016-08-21,2
2016-08-28,1
2016-09-04,3
2016-09-11,3
2016-09-18,3
2016-09-25,2
2016-10-02,2
2016-10-09,3
2016-10-16,3
2016-10-23,1
2016-10-30,2
2016-11-06,3
2016-11-13,0
2016-11-20,0
2016-11-27,3
2016-12-04,2
2016-12-11,3
2016-12-18,1
2016-12-25,1
2017-01-01,6
2017-01-08,0
2017-01-15,2
2017-01-22,2
2017-01-29,2
2017-02-05,2
2017-02-12,2
2017-02-19,2
2017-02-26,9
2017-03-05,5
2017-03-12,17
2017-03-19,11
2017-03-26,13
2017-04-02,9
2017-04-09,3
2017-04-16,2
2017-04-23,13
2017-04-30,14
2017-05-07,11
2017-05-14,24
2017-05-21,53
2017-05-28,35
2017-06-04,40
2017-06-11,74
2017-06-18,69
2017-06-25,49
2017-07-02,37
2017-07-09,34
2017-07-16,40
2017-07-23,31
2017-07-30,25
2017-08-06,32
2017-08-13,24
2017-08-20,31
2017-08-27,45
2017-09-03,34
2017-09-10,27
2017-09-17,20
2017-09-24,14
2017-10-01,13
2017-10-08,37
2017-10-15,32
2017-10-22,22
2017-10-29,35
2017-11-05,34
2017-11-12,27
2017-11-19,47
2017-11-26,83
2017-12-03,86
2017-12-10,100
2017-12-17,97
2017-12-24,57
2017-12-31,98
2018-01-07,97
2018-01-14,72
2018-01-21,40
2018-01-28,40
2018-02-04,50
2018-02-11,28
2018-02-18,27
2018-02-25,13
2018-03-04,15
2018-03-11,21
2018-03-18,25
2018-03-25,19
2018-04-01,11
2018-04-08,21
2018-04-15,12
2018-04-22,14
2018-04-29,18
2018-05-06,12
2018-05-13,10
2018-05-20,10
2018-05-27,13
2018-06-03,6
2018-06-10,7
2018-06-17,7
2018-06-24,8
2018-07-01,12
2018-07-08,6
2018-07-15,7
2018-07-22,8
2018-07-29,6
2018-08-05,3
2018-08-12,8
2018-08-19,8
2018-08-26,7
2018-09-02,10
2018-09-09,9
2018-09-16,7
2018-09-23,7
2018-09-30,8
2018-10-07,4
2018-10-14,6
2018-10-21,4
2018-10-28,8
2018-11-04,1
2018-11-11,4
2018-11-18,12
2018-11-25,10
2018-12-02,9
2018-12-09,9
2018-12-16,5
2018-12-23,8
2018-12-30,11
2019-01-06,6
2019-01-13,4
2019-01-20,7
2019-01-27,6
2019-02-03,4
2019-02-10,4
2019-02-17,7
2019-02-24,7
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,3
2019-03-31,4
2019-04-07,6
2019-04-14,6
2019-04-21,4
2019-04-28,4
2019-05-05,3
2019-05-12,10
2019-05-19,6
2019-05-26,3
2019-06-02,0
2019-06-09,4
2019-06-16,10
2019-06-23,43
2019-06-30,8
2019-07-07,12
2019-07-14,7
2019-07-21,3
2019-07-28,3
2019-08-04,4
2019-08-11,4
2019-08-18,1
2019-08-25,1
2019-09-01,2
2019-09-08,4
2019-09-15,2
2019-09-22,4
2019-09-29,2
2019-10-06,3
2019-10-13,1
2019-10-20,1
2019-10-27,3
2019-11-03,7
2019-11-10,4
2019-11-17,5
2019-11-24,3
2019-12-01,3
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,5
2020-01-05,2
2020-01-12,6
2020-01-19,4
2020-01-26,1
2020-02-02,12
2020-02-09,9
2020-02-16,8
2020-02-23,5
2020-03-01,10
2020-03-08,13
2020-03-15,8
2020-03-22,4
2020-03-29,6
