,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Gizmodo.com'}",Catie Keck,Travelex Reportedly Paid Ransomware Hackers 285 Bitcoin Worth Over $2 Million,"Following a ransomware attack against foreign exchange company Travelex earlier this year, the company reportedly paid a hefty, multimillion-dollar sum to hackers in the form of hundreds of bitcoin. Read more...",https://gizmodo.com/travelex-reportedly-paid-ransomware-hackers-285-bitcoin-1842782514,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/y7yn0ztcocikqjpfsy9g.jpg",2020-04-09T21:40:00Z,"Following a ransomware attack against foreign exchange company Travelex earlier this year, the company reportedly paid a hefty, multimillion-dollar sum to hackers in the form of hundreds of bitcoin.
Citing a source familiar with the details of the transactio… [+2026 chars]"
1,"{'id': 'engadget', 'name': 'Engadget'}",Richard Lawler,WSJ: Travelex paid ransomware ring $2.3 million,"Earlier this year Travelex made news after attackers shut down its computer networks. Now the Wall Street Journal is reporting new details about the incident, including how much the foreign exchange company paid to resolve its problem: $2.3 million in the for…",https://www.engadget.com/wsj-travelex-paid-ransomware-hackers-23-million-233927208.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=80&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2020-04%2F8e7724a0-7aba-11ea-b5c2-0fcede8463b5&client=amp-blogside-v2&signature=d033ad544fcbaf37bc669e1d33cc28e7204e5339,2020-04-09T23:39:27Z,"Earlier this year Travelex made news after attackers shut down its computer networks. Now the Wall Street Journal is reporting new details about the incident, including how much the foreign exchange company paid to resolve its problem: $2.3 million in the for… [+606 chars]"
2,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Bitcoin and S&P 500 Index highly correlated during coronavirus liquidation’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Sloterdijk used to say: Time to learn some…",https://thenextweb.com/hardfork/2020/03/31/satoshi-nakaboto-bitcoin-and-sp-500-index-highly-correlated-during-coronavirus-liquidation/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-03-31T10:07:07Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Sloterdijk used to say: Time to learn … [+3160 chars]"
3,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Binance launches Bitcoin mining pool’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Planck used to say: Buy low, sell high! Bi…",https://thenextweb.com/hardfork/2020/04/28/satoshi-nakaboto-binance-launches-bitcoin-mining-pool/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-28T10:16:38Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Planck used to say: Buy low, sell high… [+3031 chars]"
4,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Exchanges see 10% of Bitcoin withdrawn during coronavirus pandemic’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Hannah Arendt used to say: Let’s get this …",https://thenextweb.com/hardfork/2020/04/15/satoshi-nakaboto-exchanges-see-10-of-bitcoin-withdrawn-during-coronavirus-pandemic/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-15T09:03:30Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Hannah Arendt used to say: Lets get th… [+2981 chars]"
5,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,"Satoshi Nakaboto: ‘Bitcoin climbs above $7,000 for the first time since the coronavirus meltdown’","Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Faraday used to say: Let’s whip up a knowl…",https://thenextweb.com/hardfork/2020/04/07/satoshi-nakaboto-bitcoin-climbs-above-7000-for-the-first-time-since-the-coronavirus-meltdown/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-07T09:09:09Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Faraday used to say: Lets whip up a kn… [+2984 chars]"
6,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Grayscale Bitcoin Trust now manages 2% of all Bitcoin’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Albert Einstein used to say: Let’s whip up…",https://thenextweb.com/hardfork/2020/04/17/satoshi-nakaboto-grayscale-bitcoin-trust-now-manages-2-of-all-bitcoin/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-17T10:22:22Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Albert Einstein used to say: Lets whip… [+2994 chars]"
7,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,"Satoshi Nakaboto: ‘Rich Dad Poor Dad author suggests saving Bitcoin, not cash’","Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Marx used to say: Yolo! Bitcoin price We c…",https://thenextweb.com/hardfork/2020/04/02/satoshi-nakaboto-rich-dad-poor-dad-author-suggests-saving-bitcoin-not-cash/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-02T10:16:49Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Marx used to say: Yolo!
Bitcoin price… [+2838 chars]"
8,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Bitcoin exchanges see user influx since coronavirus outbreak’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Habermass used to say: Bob’s your uncle! B…",https://thenextweb.com/hardfork/2020/04/03/satoshi-nakaboto-bitcoin-exchanges-see-user-influx-since-coronavirus-outbreak/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-03T10:09:32Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Habermass used to say: Bobs your uncle… [+3098 chars]"
9,"{'id': 'the-next-web', 'name': 'The Next Web'}",Satoshi Nakaboto,Satoshi Nakaboto: ‘Bitcoin correlates with S&P 500 during coronavirus pandemic’,"Our robot colleague Satoshi Nakaboto writes about Bitcoin every fucking day. Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you what’s been going on with Bitcoin in the past 24 hours. As Nietzsche used to say: Yolo! Bitcoin price…",https://thenextweb.com/hardfork/2020/04/08/satoshi-nakaboto-bitcoin-correlates-with-sp-500-during-coronavirus-pandemic/,https://img-cdn.tnwcdn.com/image/hardfork?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2019%2F08%2Fbitcoin_today-header_bitcoin_today.jpg&signature=30221b6a68049cc6bc3b58f3ddb38864,2020-04-08T09:05:54Z,"Our robot colleague Satoshi Nakaboto writes about Bitcoin BTC every fucking day.
Welcome to another edition of Bitcoin Today, where I, Satoshi Nakaboto, tell you whats been going on with Bitcoin in the past 24 hours. As Nietzsche used to say: Yolo!
Bitcoin … [+2902 chars]"
